id,valor_total_avaluo
2,118462716.20480709
9,56302241.19270485
16,114211981.49343914
25,396100008.5764517
30,146110531.84528014
31,101174894.41669972
32,519344063.7442411
33,662976276.9810941
36,262129238.58100256
39,361201108.78375566
41,88200778.7703165
44,117588459.38325198
49,158822843.43152845
51,152416524.26398292
52,160098103.04905683
60,97320244.96227027
62,91395141.83815877
65,82398166.50017014
67,540693431.2034369
73,539829136.5166507
79,857674314.5805656
82,81027645.89393106
99,130382446.6775514
103,278211913.3195948
108,315133854.56552315
109,123970422.2421062
110,200280407.4528904
112,153464611.7765581
114,211035627.72743747
115,302669195.3078314
116,280678301.39447516
121,62124785.35210227
123,74072929.53015897
124,65826010.55254719
128,461897844.52185065
134,425397539.7840561
135,107686563.31403805
139,132849589.8535193
143,106668844.3931955
156,80280646.74619457
160,117012834.18803102
164,66775949.04098407
178,366063836.7369701
180,198326734.69746065
181,107563582.07281469
183,251055958.08697104
187,292454470.08537596
188,126129841.7786496
189,101202853.26818888
191,221888269.02612117
203,122907423.64856608
210,103336514.28473008
211,86429759.65633833
213,251249472.23473886
214,149397948.84594518
224,240314956.07961503
227,517753701.84434676
230,101177029.36533266
231,272722689.5492697
233,83241909.43252876
236,329263151.83128786
238,302619995.61311144
239,89364347.05355409
243,185614335.07656056
253,149782749.70522884
254,98424348.6964343
260,421945192.9449564
263,374086232.99870324
266,243844814.12674272
268,957943101.126017
271,141991008.67543566
274,622144360.7751639
281,78550412.92072971
285,113813730.04187761
287,119714063.15640877
291,203325346.66960108
292,245272715.18343037
296,84022212.35710216
299,251584744.02344748
308,269891110.54338735
311,549786507.568771
317,289899277.0915815
319,225880763.56099615
321,82570781.38783135
330,232316632.33675596
335,113556435.98312497
343,62205821.676208034
346,218814173.14563143
349,249678464.08084354
355,85479540.36036812
359,272347921.35791
364,639254336.9397837
367,169002122.41923758
368,95726605.43070741
373,747737204.2912197
376,145074337.53869137
377,517850096.3346118
382,-1493747639.382261
391,497040624.32190686
395,255382492.25236085
396,513999171.30334055
399,264839012.61358342
402,132436379.36770162
406,393920605.47507894
410,92211500.84802622
413,77263892.85601108
420,392602241.70873904
421,156471772.08086944
422,538193478.6631091
431,367225282.6359165
435,534410280.7162958
439,170407366.4788023
442,84999076.45786385
444,92495229.00525117
446,177543688.86703333
451,180183026.02791002
460,237222479.22783893
466,152415874.1952166
470,419122630.87759763
473,240380898.65495798
476,322265971.7316048
477,134678629.82592103
481,68280558.63092485
501,220437906.96913034
503,85132582.84781294
504,94333009.92970797
505,83439044.94879244
508,252485745.11129725
512,167955046.8240236
514,93076853.15644358
521,223705921.71904093
522,488878160.238434
523,66983159.3085429
525,79228767.71724048
530,223472961.47432187
534,146156652.47449565
541,120416426.33560757
542,151392785.84361258
543,422492752.6919312
552,99351550.38220407
554,125536923.3690506
555,75715056.6638969
558,313153512.5304336
564,149161886.21347287
565,321925925.95595574
566,436994647.7751773
568,516347980.7090145
569,377636140.85883045
573,117736700.53924343
581,93618994.19675481
584,156322628.8317554
587,145124927.9817256
607,116826924.41166718
609,127694429.55563672
611,131778646.09263755
615,183740112.7827765
619,211262001.4797651
623,454896607.5792609
627,230261076.99550813
628,119547112.07690944
635,177094658.90373266
639,120003187.06607118
641,79633624.38440679
642,128739032.83499394
646,534895718.86855906
649,66950658.13564143
653,629297331.4374188
656,594499386.1236109
657,521243723.9609428
665,279141139.99333173
666,172560590.7946529
671,212781350.92830446
674,116708042.33463186
677,915494583.824914
682,518321328.4817038
687,968510743.5157825
690,188089228.19437888
693,172889350.61088538
695,163600983.55134147
703,306687634.6946142
704,121057037.72931488
705,293866409.09431064
713,85843875.22268678
717,309039376.22655374
725,131672461.719908
729,157310323.36617684
734,858242294.3384538
739,75077036.68788472
750,232193924.68165883
754,221010081.094334
757,132186084.90799625
758,69424362.65033333
760,195396169.80134377
761,119907375.00537683
763,239594834.71376282
764,94616042.78559053
765,185692983.40324837
768,150299471.19475424
771,235826262.86116895
777,120604995.05597058
779,110723914.1256005
786,324951137.86232966
787,138914511.6547882
790,462853752.3576793
792,96247131.4353564
794,134430295.95481363
795,78677056.84217235
797,155890209.00076833
798,227723359.92345887
800,563236154.3077877
802,600455181.7728819
806,129538812.08400166
810,64787527.52496505
812,238069505.99549395
813,246202082.50139332
817,212221960.62238574
822,358698255.03449863
826,92805460.51363228
841,156112789.17592397
852,104097912.2482553
854,127054917.86937511
860,199193218.18336925
864,247469669.20623925
865,240240878.35676363
868,83723582.33095722
875,117438957.28214383
882,37068692.93146871
883,268493675.9499973
884,237189208.01520768
885,233927978.03399232
891,432753327.46472746
892,200473553.50785276
897,206147789.43585053
902,112622688.1047854
910,121521170.78756122
911,67722456.56504823
913,85796479.19241862
918,88027689.75868124
920,355644614.8122596
923,195761212.65428063
926,461243742.56608474
937,197555977.26270613
939,66387461.437750764
940,735038043.325948
941,84441944.23453145
946,344473976.8465202
960,133825454.53162791
962,65662943.47785821
965,156319090.73696655
970,101680791.85093896
971,59583453.614721574
976,142980731.18142235
980,86078215.74
981,88426084.88041294
982,870520574.8793879
991,248848398.25515375
992,314682759.5529334
994,132695014.01057087
995,262582446.14123708
999,146419761.56357837
1001,152890042.31252265
1006,203953732.32162857
1008,156441845.94268337
1010,94495251.97176555
1011,458781886.82132614
1012,66022012.04699016
1013,118596502.21285535
1019,95228670.33684373
1023,122623271.61161447
1024,63025324.0264586
1025,244489224.69389418
1028,134160913.67660326
1033,170862453.77359447
1036,203539779.98923135
1037,385661160.79388356
1039,183966880.3674956
1041,210129766.6671805
1053,174744778.97258213
1059,766110879.9907026
1061,243247458.7323962
1062,71851245.59618503
1063,77609755.97095132
1064,145911476.60122782
1073,588869789.4591709
1074,350138021.95227784
1076,349445386.9796128
1079,108127012.65524983
1081,125468311.03037667
1085,43269483.64516885
1086,59831885.55152084
1087,213364907.12862226
1090,150642172.8135515
1095,176964779.07915857
1098,184877916.81188637
1099,129634967.70156142
1103,211150088.6104109
1104,661461855.1508331
1106,254856580.87769797
1107,407436056.00789934
1108,417002527.60879564
1114,69177232.35358463
1115,172596626.68442354
1121,386367272.180639
1124,217451804.23470956
1126,417828277.7301397
1132,103281242.61353412
1141,220293536.07656214
1144,298673469.94008404
1145,241181005.8143487
1148,100773151.62305258
1153,31250615.502020154
1155,126693831.4527742
1160,453318214.4610847
1172,174760730.16787
1174,121965427.71845415
1176,771667110.0927757
1177,180364801.63301632
1182,190346371.68308702
1188,189998105.75588745
1193,727020974.8391358
1198,192293827.2403594
1200,323183039.92377084
1205,692794494.1245189
1217,160019891.03417674
1220,313067701.1736546
1223,115492243.25945318
1224,197173885.93430504
1227,802102178.6987414
1253,244032832.84116125
1254,220037922.89314365
1258,249159707.07879683
1262,102576615.62095825
1264,178406107.71868077
1277,287783935.0883516
1278,171875028.81848973
1282,94824592.66677265
1284,56605206.12997362
1286,168328829.79942596
1291,76787573.75794232
1293,696708222.948977
1294,64039068.2982763
1296,147282777.42044836
1297,175381490.3706002
1298,189152543.5457987
1302,228836972.15225258
1303,165568218.25395238
1304,63589705.58108095
1305,168530593.71623975
1315,217279959.87568396
1318,145327295.1903867
1321,94582105.42823888
1323,85536751.34302948
1326,56582032.29746803
1327,201942109.71056122
1329,77741830.91738
1330,236784445.9550584
1336,163295350.8511461
1343,568310285.2439542
1346,132210170.55715539
1359,302174840.8307925
1362,89087602.65052092
1363,201457198.47933015
1364,280314915.9566872
1367,219767667.7941598
1371,100045047.74505731
1372,246642328.15866876
1375,322437601.5412002
1379,544852602.9325447
1380,170403390.42950708
1381,90737868.110946
1393,571493611.0445698
1398,311297810.8941753
1400,94681731.12715112
1402,330195130.57044786
1404,345392397.1208613
1406,156213104.4387037
1412,309344870.1163839
1416,171785113.369739
1422,314043781.4470351
1425,151706874.85830918
1427,325597917.06461895
1428,237880601.17228875
1432,164341834.67131582
1433,336015611.7911051
1439,220168016.01920396
1441,419501009.30374587
1442,150522882.3400261
1450,138810640.29886994
1451,338387299.47758055
1455,109204388.98850721
1462,440200346.71373445
1466,134763695.95551944
1467,138624580.40769783
1472,118441932.23413484
1479,503996410.67429996
1480,902950131.4620448
1485,314002361.19244653
1487,211882811.5025782
1492,110944985.91022375
1493,454829028.2074786
1494,56257422.95901891
1496,224017339.6166282
1497,371371210.16377336
1498,533547933.4467918
1503,577846152.3099271
1506,149147274.33531657
1510,129330210.23836517
1511,433849800.1590992
1516,136286493.23763776
1517,314863192.5578251
1523,106016257.9246926
1527,66493300.20035976
1536,508296426.82182634
1537,285545440.7149719
1539,65613081.71076697
1545,351426553.0316311
1547,241220218.7936759
1550,124824258.89049444
1557,497240841.0691087
1562,51222253.9275264
1568,253775306.3623907
1571,122898599.86846632
1581,64787527.52496505
1597,152878665.86443552
1598,102062849.49794298
1600,317429676.1041858
1606,369031407.76973796
1609,84671503.66841774
1611,357950560.4298002
1613,326681172.2926864
1617,373278853.6040907
1620,292062193.3890264
1622,124835371.27496721
1624,109161287.1384977
1630,185739597.95348167
1631,97708301.41808248
1633,303111112.66254383
1642,485505094.9364003
1645,148176162.207384
1648,146376577.46800926
1649,134617682.19038975
1650,192450356.71858743
1666,69704924.61768512
1668,198818871.54682934
1669,166383417.38866764
1671,129259834.83853783
1673,128709523.72410996
1674,212420339.6076817
1676,850596694.1481738
1682,179018243.0818416
1685,227966885.928944
1686,85794577.478177
1691,334758078.7436745
1696,524456440.9556769
1703,299177201.6468334
1704,906312484.5667437
1706,112018749.21335186
1713,99021801.06412472
1716,322658937.5515752
1718,166268343.53012514
1721,126538707.17269136
1723,266661902.18159023
1725,99948791.99542987
1726,82633105.02465731
1729,144731868.71762416
1733,218457779.6079375
1754,478888573.944899
1755,94422782.6916965
1757,205513342.14563674
1768,95043276.13616872
1771,133506444.75304745
1776,141389547.51151854
1778,350032226.67761034
1782,174967411.01116908
1784,49869074.17482634
1786,228482922.8953737
1792,233766246.2541636
1794,156285392.8050105
1796,64655824.15106527
1799,196027036.86034247
1802,129595026.42360607
1806,684601641.0477052
1807,118085903.83706506
1811,210796325.48914638
1817,142365285.56473595
1818,153032840.83787873
1823,173739411.98189867
1827,146749219.58435792
1830,158451489.94535187
1835,465404460.7103763
1837,123716278.74787155
1840,118496079.63365829
1846,174263522.26236707
1854,187944075.34442756
1857,258712188.24695763
1859,116977726.93466856
1869,73702512.06962633
1873,289664747.85465705
1875,92201146.83999251
1884,635010302.6855485
1894,156174673.57170784
1900,169445399.4576139
1908,495990319.8729711
1920,104910419.29625201
1923,676153127.1275802
1927,354358397.04101896
1929,298953026.4494261
1930,177248498.15169168
1935,86970953.56220935
1937,472494443.03574485
1940,880434463.6348861
1942,120461299.91712785
1946,140601951.28102833
1954,491684067.1651435
1956,152284242.4788408
1957,311444012.52891594
1962,490721600.7584922
1969,135504307.7424577
1974,311885773.8062898
1977,140129781.85149252
1979,283901387.9428748
1980,200700542.31022313
1997,221677069.34850717
2011,251172072.80651647
2013,50769113.99919513
2015,228445866.74599934
2020,320058638.53839594
2021,235560599.5080211
2023,271314561.7360456
2024,162635505.04599464
2027,198497905.36279458
2031,259843007.9175553
2036,101046403.84167016
2037,105936953.86057314
2040,218222515.59285185
2043,230424449.6113034
2049,78343873.28661259
2052,170593963.99447814
2056,247249430.53006586
2057,208670680.09318072
2062,350722125.4802105
2064,224766253.15443167
2067,227343203.94896483
2068,622708925.7777228
2070,131166083.52871238
2072,406206660.18944633
2075,211442082.42062622
2076,209369138.60402885
2079,34284784.059460506
2082,853330033.8805593
2083,100131937.93042743
2088,198253755.03618473
2095,95943753.11263238
2096,83319724.83207457
2102,144906221.81095484
2104,543442134.571259
2107,727406892.0202695
2113,316319345.7700576
2115,72620746.28814276
2116,195278108.45124295
2124,433239924.6451659
2128,304002235.83066815
2131,185306898.13024026
2145,158994849.99899277
2146,249255017.85511595
2148,299979477.0663935
2149,195482033.91093725
2151,88160442.12591024
2155,143902428.75018576
2157,700644027.7973245
2159,152823635.60964787
2160,350255383.5759164
2162,131061964.43454401
2165,171636736.50331283
2166,217419789.1983984
2169,43387709.13039246
2172,103672390.25756988
2174,383405127.4585613
2178,391991290.7787353
2179,60398665.051158756
2180,180924033.6181153
2184,222384249.8950425
2188,405976614.14476335
2195,250924825.91111165
2197,319234075.2175265
2200,240555284.42919317
2201,186701021.71022457
2205,205106643.20306197
2210,328127713.4578509
2212,101754224.49874493
2214,88089480.064939
2215,175621258.49709675
2216,146694356.84264237
2217,723570673.3418297
2219,222142935.5236158
2223,196315116.38629735
2233,177390299.29807037
2239,298972889.07453686
2241,191570594.31509504
2245,214359248.21712857
2253,277261441.6760763
2254,154714993.0603644
2258,426256894.2442199
2274,346592297.341332
2276,85247914.8433742
2278,116980376.55962797
2283,488625694.66396254
2288,151249711.90608355
2294,166785434.14452854
2302,235218060.3943793
2306,128432624.8680471
2308,756375085.5191964
2309,99675890.91462187
2317,115154544.58123653
2319,115915255.08454981
2322,265758095.92566812
2329,288086277.0750701
2330,101786691.13980737
2332,136647191.75381598
2334,219390885.63952208
2335,94603011.45248444
2337,222054257.93662772
2340,123693702.9253132
2341,173094983.2494649
2344,143792229.06219685
2346,75280944.67205454
2352,92921548.67613877
2353,163333010.69260308
2354,279389122.0187002
2360,305660706.8184731
2361,169202443.22015432
2364,244465611.94891316
2366,259007687.10079247
2373,150837508.14333397
2374,85698270.18271025
2375,419235382.54302454
2387,83252936.70079783
2390,246500954.41869137
2393,343128060.1028105
2399,154685728.34695548
2404,206760693.3798075
2407,150950131.52740648
2408,184853304.7306427
2410,192833967.2240335
2424,130605334.98996104
