id,valor_total_avaluo
2,121900355.12064591
9,74745126.64622886
16,119045041.8642019
25,392581699.24555355
30,135424772.76371112
31,106152469.86275698
32,540690294.5557052
33,694315847.7531372
36,247701874.59286436
39,387228308.58456963
41,98409685.76694562
44,119889292.13015413
49,131653765.74501765
51,156102773.52521315
52,150624379.9621327
60,99934764.97478656
62,88805917.19902357
65,79311410.32396647
67,522163630.8924207
73,540779596.8218687
79,820670740.7775135
82,85715794.90790147
99,131787530.67716815
103,256338847.2598592
108,340088733.93413335
109,125540574.90094937
110,212071170.2264883
112,164831005.33121055
114,205123398.74319026
115,305257356.8198208
116,276488398.6665139
121,61750755.994290784
123,63731980.66241256
124,78059683.50715972
128,451735356.6882908
134,401389756.10063475
135,110400801.22414646
139,146297924.16690314
143,111575889.63526812
156,79226872.91461883
160,100106815.05891289
164,66416613.86600549
178,389366250.58479434
180,210944399.24482676
181,116405808.53442745
183,259651314.480699
187,298702368.4274752
188,129049574.33053863
189,107908576.60848856
191,252049795.13974696
203,129122011.69526872
210,114015358.20330794
211,85018686.8268693
213,246109087.88536954
214,151574317.11319473
224,237065945.47180203
227,541275955.5622649
230,108949770.01809599
231,288200674.55515045
233,73955824.399764
236,343797169.29311746
238,309153484.25942785
239,92354751.03628345
243,197083556.45358706
253,151065163.6261294
254,99734130.6994848
260,423293061.82688296
263,373653824.60849005
266,253474751.44586563
268,992199052.7106133
271,137248588.1036581
274,615220121.463391
281,66501572.630175166
285,118444338.25443469
287,125621350.25842008
291,237378531.56633288
292,254526946.89532945
296,74720262.5797785
299,254479532.0807917
308,260849853.88253808
311,574900446.404827
317,301657528.3543487
319,233851393.0665121
321,92032666.44253285
330,228080867.8444068
335,115671191.60217705
343,60444263.19638915
346,230132250.44076547
349,213469161.41215664
355,89966866.64947705
359,265214539.03550202
364,651726326.2198848
367,176238666.46728122
368,92975035.2442142
373,742979226.5972037
376,145805538.49585998
377,522914119.8169052
382,-206296167.44261605
391,520767548.6262321
395,254109863.2125068
396,536520365.0321771
399,293846511.61013186
402,135468947.07229674
406,356339970.6156218
410,92709600.97232255
413,76549968.96489018
420,406542397.1995979
421,159392398.5065652
422,533973667.29018235
431,354624884.1050869
435,538253727.5442532
439,169652631.42699465
442,84817067.11068381
444,75859899.92770524
446,158932398.03554878
451,188016364.14399529
460,252774856.24225
466,153900594.82059848
470,456339781.44462323
473,245987598.3788438
476,276317019.66958976
477,126107944.66858365
481,64889950.284485586
501,232914399.93403432
503,90086269.06167519
504,87697729.62090436
505,92157097.49393523
508,266180595.71698666
512,174460756.5866947
514,98800060.94385271
521,226330344.2400756
522,501555229.8341581
523,65786022.18122222
525,75343190.22128597
530,234134107.05094773
534,124594801.68891174
541,114826025.87692389
542,158534104.56503534
543,390526869.39065725
552,109517692.50339633
554,131925252.0696482
555,76375699.77015229
558,318213872.64445245
564,157555621.68902385
565,334905747.1979965
566,408902648.7846168
568,531930729.05386347
569,388622606.52216214
573,114035224.65164697
581,71996009.45453396
584,168845505.64628708
587,154221822.76522794
607,110560828.32828282
609,124546058.16446479
611,144105102.77532318
615,199898963.0895285
619,205834023.2331814
623,488697249.94195473
627,241270323.76559407
628,126441821.39868276
635,163342221.2327826
639,123092808.68001091
641,71432122.88647038
642,132151600.35959527
646,554034766.5723779
649,72645232.28023264
653,638090781.9133016
656,586978334.0905756
657,527629658.3711299
665,289656057.5190207
666,190433755.4997799
671,243384904.17173257
674,116545354.03478219
677,843250259.3080059
682,514311470.0437
687,1018072100.1351776
690,183099592.6246133
693,172191719.11028552
695,155143739.35352898
703,291514916.5501177
704,130024727.12849447
705,292427073.1165276
713,91933346.11789484
717,286983906.6229077
725,110602772.15263323
729,148092860.30050963
734,842046261.1163083
739,65907708.89227091
750,245034089.5721512
754,228311706.85509846
757,141198645.66006806
758,66970899.89606637
760,205924093.10545117
761,120665781.41868952
763,272875419.2775125
764,101822863.25873078
765,188873488.112041
768,150450724.29455566
771,232816681.5584704
777,122323825.40333068
779,98616428.72550392
786,354693708.3470583
787,148245031.70049694
790,441782926.12214166
792,102842653.917401
794,118323483.01464583
795,78884299.93222196
797,160025271.2078922
798,223848869.04408967
800,597994570.3064777
802,613883960.3201292
806,132055089.0459596
810,68849486.39444482
812,267013065.1048979
813,250138994.8530082
817,234681903.1373069
